"","x"
"Francie",39
"Itálie",31
"Španělsko",19
"Německo",18
"Japonsko",15
"Švédsko",14
"Dánsko",10
"Izrael",10
"Polsko",9
"Sovětský svaz",9
"Maďarsko",8
"Mexiko",8
"Belgie",7
"Kanada",7
"Nizozemí",7
"Argentina",6
"Československo",6
"Jugoslávie",6
"Alžírsko",5
"Norsko",5
"Rusko",5
"Řecko",5
"Švýcarsko",5
"Brazílie",4
"Rakousko",4
"Česká republika",3
"Indie",3
"Tchaj-wan",3
"Británie",2
"Čína",2
"Hongkong",2
"Írán",2
"Jižní Afrika",2
"Palestina",2
"Bosna a Hercegovina",1
"cena neudělena",1
"Finsko",1
"Gruzie",1
"Chile",1
"Island",1
"Kambodža",1
"Kazachstán",1
"Kuba",1
"Makedonie",1
"Nepál",1
"Nikaragua",1
"Peru",1
"Pobřeží slonoviny",1
"Portoriko",1
"Uruguay",1
"Vietnam",1
